,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
1028,06412500,RAPID CR ABOVE CANYON LAKE NEAR RAPID CITY SD,Non-ref,SD,74017479,0.00026555000003725127,973.4481,1025.8985247987512,5.388106956986327,excellent,0
138,12010000,"NASELLE RIVER NEAR NASELLE, WA",Ref,WA,78018499,0.0006603666666649133,142.182,149.87898900542714,5.413476393233431,excellent,0
1685,03378635,"LITTLE WABASH RIVER NEAR EFFINGHAM, IL",Non-ref,IL,74039170,0.00020267094562668222,622.0404,655.7537148738246,5.419795060549866,excellent,0
3070,01173000,"WARE RIVER AT INTAKE WORKS NEAR BARRE, MA",Non-ref,MA,73003701,0.0001872333333636789,248.9728,235.4126114980746,5.446453790102939,excellent,0
888,06622700,"NORTH BRUSH CREEK NEAR SARATOGA, WY",Ref,WY,74036663,5.065241589528619e-06,98.703,104.08142302708565,5.449097825887405,excellent,0
445,11022480,SAN DIEGO R A MAST RD NR SANTEE CA,Non-ref,CA,77032356,0.0003789950925919784,953.5824,1005.697857820469,5.465228575996058,excellent,0
2961,01375000,CROTON R @ NEW CROTON DAM NR CROTON-ON-HUDSON NY,Non-ref,NY,73003424,0.00016301168327690295,980.0289,1033.651716557349,5.471554620210575,excellent,0
1377,05124480,"KAWISHIWI RIVER NEAR ELY, MN",Non-ref,MN,71047286,0.0006703808279010074,707.2242,668.460665924568,5.481081399000763,excellent,0
2987,01405400,MANALAPAN BROOK AT SPOTSWOOD NJ,Non-ref,NJ,73006196,0.00019645312001555863,100.7847,106.31375260946892,5.486003936578587,excellent,0
2876,01583500,"WESTERN RUN AT WESTERN RUN, MD",Ref,MD,73006645,0.00015713326889356467,155.8494,164.42260799237556,5.500956687915101,excellent,0
1740,04118500,"ROGUE RIVER NEAR ROCKFORD, MI",Non-ref,MI,72055710,0.00015516279803459249,651.3048,687.24418544613,5.518059355025484,excellent,0
2395,02011500,"BACK CREEK NEAR MOUNTAIN GROVE, VA",Non-ref,VA,73006868,0.0004996599999884666,348.0309,367.294699994599,5.535083233873495,excellent,0
935,08220000,"RIO GRANDE NEAR DEL NORTE, CO.",Non-ref,CO,75000090,0.0002808433333427729,3397.657,3209.085412424429,5.5500477998683015,excellent,0
385,12144000,"SF SNOQUALMIE RIVER AT NORTH BEND, WA",Ref,WA,78016804,0.00019043092720128844,210.1059,221.77580645867184,5.554297360841294,excellent,0
76,11418500,DEER C NR SMARTVILLE CA,Non-ref,CA,77007180,0.0003012510590189408,218.8314,231.00931503716703,5.564976067039294,excellent,0
1624,05540095,"WEST BR DU PAGE RIVER NEAR WARRENVILLE, IL",Non-ref,IL,74024721,0.0008071061665750865,237.0537,250.27184166618665,5.5760115392363225,excellent,0
2979,01390500,SADDLE RIVER AT RIDGEWOOD NJ,Non-ref,NJ,73005269,0.00019638712335206583,57.50443,60.71980924235747,5.591533108592627,excellent,0
936,09107000,"TAYLOR RIVER AT TAYLOR PARK, CO.",Ref,CO,77015438,0.00037627273148023,331.6194,350.1701213093515,5.593979516684339,excellent,0
2191,03194700,"ELK RIVER BELOW WEBSTER SPRINGS, WV",Non-ref,WV,74037349,0.0001348381920618693,689.0697,727.6219900436632,5.594831704784467,excellent,0
63,11390000,BUTTE C NR CHICO CA,Non-ref,CA,77006884,0.0004899425035630959,383.3298,404.7957071629035,5.599853484624346,excellent,0
